title,release_date,vote_average,runtime,genre_names,,,title,release_date,vote_average,runtime,genre_names
Anacondas: The Hunt for the Blood Orchid,2004-08-26,5.4,96,"Action, Adventure, Horror",,,,,,,
Dead Silence,2007-03-16,6.4,89,Horror,,,,,,,
Saw III,2006-10-27,6.4,114,"Crime, Horror, Thriller",,,,,,,
Friday the 13th,1980-05-09,6.4,95,Horror,,,,,,,
Midsommar,2019-07-03,7.1,147,"Drama, Horror, Mystery",,,,,,,
Zombieland: Double Tap,2019-10-09,7.0,99,"Comedy, Horror",,,,,,,
Halloween 5: The Revenge of Michael Myers,1989-10-12,5.4,97,"Horror, Thriller",,,,,,,
Blade,1998-08-21,6.7,121,"Action, Horror",,,,,,,
I Spit on Your Grave,2010-06-17,6.5,108,"Crime, Horror, Thriller",,,,,,,
The Texas Chain Saw Massacre,1974-10-01,7.3,83,Horror,,,,,,,
Phobias,2021-02-28,5.2,85,"Horror, Thriller",,,,,,,
The Cabin in the Woods,2012-04-12,6.6,95,"Fantasy, Horror",,,,,,,
Evil Eye,2020-04-01,5.5,90,"Horror, Mystery, Thriller",,,,,,,
The Funeral Home,2021-04-15,4.5,86,Horror,,,,,,,
Sator,2019-07-21,5.2,85,Horror,,,,,,,
The Thing,1982-06-25,8.0,109,"Horror, Mystery, Science Fiction",,,,,,,
Veronica,2017-08-25,6.2,105,Horror,,,,,,,
Insidious: The Last Key,2018-01-03,6.2,103,"Horror, Mystery, Thriller",,,,,,,
Unhuman,2022-06-03,5.7,87,"Comedy, Horror",,,,,,,
Shadow in the Cloud,2020-12-31,5.7,83,"Action, Horror, War",,,,,,,
Texas Chainsaw 3D,2013-01-03,5.5,92,"Horror, Thriller",,,,,,,
Paranormal Activity 3,2011-10-19,5.9,94,"Horror, Mystery",,,,,,,
Safer at Home,2021-02-26,5.5,82,"Horror, Thriller",,,,,,,
Ghost Mansion,2021-06-30,7.3,106,Horror,,,,,,,
Saw IV,2007-10-25,6.2,96,"Crime, Horror, Thriller",,,,,,,
Significant Other,2022-10-06,6.3,84,"Horror, Science Fiction, Thriller",,,,,,,
Porno,2019-06-28,6.4,98,"Comedy, Horror",,,,,,,
Goodnight Mommy,2014-10-07,6.7,100,"Drama, Horror, Mystery, Thriller",,,,,,,
House of the Witch,2017-10-07,4.7,90,"Horror, TV Movie",,,,,,,
I Spit on Your Grave III: Vengeance is Mine,2015-10-01,5.7,91,"Horror, Thriller",,,,,,,
Annihilation,2018-02-22,6.4,115,"Horror, Science Fiction",,,,,,,
The New Mutants,2020-08-26,6.2,94,"Action, Horror, Mystery, Science Fiction",,,,,,,
The Hills Have Eyes 2,2007-03-22,5.5,89,"Horror, Thriller",,,,,,,
28 Weeks Later,2007-04-26,6.6,100,"Horror, Science Fiction, Thriller",,,,,,,
Don't Breathe,2016-06-08,7.0,89,"Horror, Thriller",,,,,,,
The Final Destination,2009-08-26,5.6,82,"Horror, Mystery",,,,,,,
Knock Knock,2015-06-26,5.3,99,"Drama, Horror, Thriller",,,,,,,
El amarre,2021-10-21,7.0,77,Horror,,,,,,,
Blood Red Sky,2021-07-23,7.0,121,"Action, Horror, Thriller",,,,,,,
The Exorcism of Emily Rose,2005-09-09,6.5,122,"Crime, Drama, Horror, Thriller",,,,,,,
There's Someone Inside Your House,2021-09-24,5.6,96,"Horror, Mystery, Thriller",,,,,,,
Willy's Wonderland,2021-02-12,6.1,88,"Action, Comedy, Horror",,,,,,,
Werewolves Within,2021-06-25,6.1,97,"Comedy, Horror",,,,,,,
Halloween: The Curse of Michael Myers,1995-09-29,5.2,88,"Horror, Thriller",,,,,,,
The Seventh Day,2021-03-26,5.4,87,Horror,,,,,,,
Thir13en Ghosts,2001-10-26,6.2,91,"Horror, Thriller",,,,,,,
The Human Centipede 2 (Full Sequence),2011-10-06,4.8,91,"Crime, Drama, Horror",,,,,,,
[REC]⁴ Apocalypse,2014-10-31,5.5,95,"Horror, Thriller",,,,,,,
Deep Blue Sea 3,2020-08-25,5.8,100,"Action, Horror, Science Fiction",,,,,,,
The Mad Hatter,2021-01-29,5.7,90,"Horror, Thriller",,,,,,,
Jaws,1975-06-20,7.6,124,"Adventure, Horror, Thriller",,,,,,,
The Jack in the Box,2019-11-09,5.9,87,Horror,,,,,,,
Scream 2,1997-12-12,6.4,120,"Horror, Mystery",,,,,,,
AVP: Alien vs. Predator,2004-08-12,5.9,101,"Action, Adventure, Horror, Science Fiction",,,,,,,
#Alive,2020-06-24,7.3,98,"Action, Horror, Thriller",,,,,,,
Hostel,2005-09-17,5.9,94,Horror,,,,,,,
The Babysitter: Killer Queen,2020-09-10,6.4,101,"Comedy, Horror",,,,,,,
Sleepy Hollow,1999-11-19,7.2,105,"Drama, Fantasy, Horror, Mystery, Thriller",,,,,,,
Piranha 3D,2010-08-20,5.4,88,"Comedy, Horror",,,,,,,
Van Helsing,2004-05-05,6.3,132,"Action, Adventure, Horror",,,,,,,
Stan Helsing,2009-10-27,4.2,90,"Comedy, Horror",,,,,,,
Paranormal Activity: Tokyo Night,2010-11-20,6.0,91,"Horror, Thriller",,,,,,,
It Follows,2014-09-24,6.6,101,"Horror, Mystery",,,,,,,
Smiley,2012-10-12,4.4,95,Horror,,,,,,,
Containment,2015-07-09,5.9,77,"Horror, Science Fiction, Thriller",,,,,,,
Halloween II,1981-10-30,6.5,92,"Horror, Thriller",,,,,,,
Evil Dead,2013-04-05,6.5,96,Horror,,,,,,,
Insensate,2021-08-04,6.7,84,"Horror, Mystery, Thriller",,,,,,,
Hostel: Part II,2007-06-08,5.8,93,Horror,,,,,,,
I Spit on Your Grave 2,2013-08-25,6.3,106,"Crime, Horror, Thriller",,,,,,,
Crawl,2019-07-11,6.3,88,"Action, Horror, Thriller",,,,,,,
28 Days Later,2002-10-31,7.2,113,"Horror, Science Fiction, Thriller",,,,,,,
Ghost Ship,2002-10-25,5.9,91,"Horror, Mystery, Thriller",,,,,,,
The Banishing,2021-04-29,5.4,97,Horror,,,,,,,
Friday the 13th: The Final Chapter,1984-04-13,6.1,91,Horror,,,,,,,
Insidious: Chapter 3,2015-05-28,6.3,97,"Drama, Horror, Thriller",,,,,,,
Fat Ass Zombies,2020-02-18,4.8,88,"Comedy, Horror",,,,,,,
Bodies Bodies Bodies,2022-08-05,6.4,94,"Comedy, Horror, Mystery",,,,,,,
Halloween: Resurrection,2002-07-01,4.7,89,"Horror, Thriller",,,,,,,
Polaroid,2019-01-10,6.0,88,"Horror, Mystery, Thriller",,,,,,,
The Ring Two,2005-03-17,5.7,110,"Drama, Horror, Thriller",,,,,,,
The Island of Giant Insects,2020-01-10,4.4,76,"Adventure, Animation, Drama, Horror, Mystery",,,,,,,
The Dinosaur Project,2012-08-09,5.6,83,"Action, Adventure, Horror",,,,,,,
Night Teeth,2021-10-20,6.5,107,"Action, Horror, Thriller",,,,,,,
La Casa,2020-01-30,6.3,73,Horror,,,,,,,
Echoes,2022-01-27,6.4,84,"Horror, Thriller",,,,,,,
Saw 3D,2010-10-21,6.0,90,"Crime, Horror",,,,,,,
Sijjin 6,2019-08-09,5.7,94,Horror,,,,,,,
Shaun of the Dead,2004-04-09,7.5,99,"Comedy, Horror",,,,,,,
Carrie,1976-11-03,7.3,98,"Horror, Thriller",,,,,,,
The Ritual,2017-10-11,6.2,94,"Horror, Mystery, Thriller",,,,,,,
Vivarium,2019-09-07,6.0,97,"Horror, Mystery, Science Fiction",,,,,,,
Stay Out of the Attic,2021-03-11,5.7,80,Horror,,,,,,,
What the Peeper Saw,1972-10-14,5.9,89,"Drama, Horror, Thriller",,,,,,,
The Blair Witch Project,1999-07-14,6.3,81,"Horror, Mystery",,,,,,,
