release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
2007-08-14,/eTFhJnie3s8xdAPwOo09yg3NaNh.jpg,2.791,19,7.1,0,0,75,Released,FALSE,/fHfYGhpqIlDbQqALvbKJPOyM47C.jpg,"Drama, Horror, Mystery",NA,NA
1966-10-15,/cijZmJ0z8KPcxvXSC4nG7ktCS9l.jpg,2.791,20,5,0,0,95,Released,FALSE,/7bS9otN0lW5ZrEWkk6whAjFhboU.jpg,"Horror, Science Fiction",NA,NA
2017-01-02,/piKOoGPT1vw78WbLfkCc7JmrP4N.jpg,2.791,19,4.1,3000000,0,90,Released,FALSE,/lAd0yxbWd6CiIHykv7tgeyOvMKz.jpg,"Horror, Science Fiction",NA,NA
1970-05-02,/qaFxWKfGMav2qa92SFS2qlDqlTu.jpg,2.79,20,5.1,0,0,92,Released,FALSE,/uJFnPiAJBvYG1IMxSyoh4NNPPI0.jpg,"Drama, Horror, Thriller",NA,NA
2011-01-01,/2EMayUEOr9lOK2OXZk7NTJf0E6d.jpg,2.79,29,5,0,0,114,Released,FALSE,NA,"Drama, Horror, Science Fiction",NA,NA
2012-09-15,/eNBth8F4UTfrN9hFqZtSKGf1nJ8.jpg,2.79,11,4.3,0,0,86,Released,FALSE,/6BlPKp1Cl25KdbVuFcIjfI3sNgS.jpg,"Adventure, Fantasy, Horror, TV Movie",NA,NA
1988-06-17,/ble5kUmy2hgXdxxWsBuC1FNHQ7R.jpg,2.789,4,3.8,0,0,78,Released,FALSE,/icrF1sUHGF6xXBrBpxCMl7EWm2Y.jpg,"Drama, Horror, Thriller",NA,NA
1986-08-19,/xbX4FTY2eKc6raXIPGnqUg323zA.jpg,2.789,14,5.7,0,0,25,Released,FALSE,/hRKPdKvySpjnPWqrplxRfB7f0ZA.jpg,"Crime, Horror, Thriller",NA,NA
2016-04-03,/9B49mUbO3uSYedZklnzh3pBGCUN.jpg,2.789,31,4.9,0,0,90,Released,FALSE,/vMNJtFOWaGipO5Hh1Z7N9dQfqvS.jpg,"Horror, Mystery, Thriller",NA,NA
2017-03-27,/j0l70MJfEEsZe8gcAPtd1bUCY4R.jpg,2.788,3,5,0,0,0,Released,FALSE,NA,Horror,NA,NA
2007-03-05,/1KJNfwz7fnqtNejkpfdAeyVOJOD.jpg,2.787,23,5.2,0,0,83,Released,FALSE,/5JBH5lPjVBQGUiKdPgnlvie1J3i.jpg,"Horror, Thriller",NA,NA
1973-04-15,/xtgUjjzqISU038RuRTxdw8E57g2.jpg,2.787,22,6.3,0,0,63,Released,FALSE,/wXUPNiAK6H3XSxWJYInE9dziHSQ.jpg,"Drama, Horror",NA,NA
